x,y,index,distance
42,23,5,0
31,15,6,13.6015
30,15,7,1
35,10,8,7.07107
21,2,10,16.1245
19,7,9,5.38516
12,20,2,14.7648
9,26,1,6.7082
2,23,0,7.61577
18,24,3,16.0312
26,33,4,12.0416
42,23,5,18.868
,,Sum of Distance:,119.212
