x,y,index,distance
2,23,0,0
9,26,1,7.61577
18,24,3,9.21954
26,33,4,12.0416
42,23,5,18.868
31,15,6,13.6015
30,15,7,1
35,10,8,7.07107
21,2,10,16.1245
19,7,9,5.38516
12,20,2,14.7648
2,23,0,10.4403
,,Sum of Distance:,116.132
